id,Location,Sex,TA,EDL,Gastroc,Soleus,Tibia,Mode,thick,delta_thick,thick_log,Thickness
1,PSU,M,46.5,9.5,105.5,5,16.52,139,18.028,15.021,1.255947549,1.460489368
2,PSU,M,50.9,9.2,111.5,5.6,16.96,129,15.969,16.529,1.203277721,1.293685085
3,PSU,M,54.1,9.6,114.6,6.6,17.29,140,13.99,18.338,1.145817714,1.133361785
4,PSU,M,45.5,8.5,99.6,5.3,16.64,151,14.013,15.23,1.146531122,1.135225067
5,PSU,M,48.1,9.1,117.6,6.6,16.17,148,16.014,13.363,1.204499824,1.297330638
6,PSU,M,43.5,9.7,104.4,6,16.55,123,16.012,18.207,1.204445581,1.297168613
7,PSU,M,49.7,8.3,103.1,5.7,16.76,137,15.993,15.422,1.203929937,1.29562938
8,PSU,M,47.1,9,101.5,7.4,17.36,138,15.997,15.732,1.204038545,1.295953429
9,PSU,M,51.5,10,116.6,6.6,17.53,140,16,14.425,1.204119983,1.296196466
10,PSU,M,55.6,11.1,123.5,7.6,17.39,144,15.236,14.554,1.182870964,1.234303085
11,PSU,M,51.3,9.8,118.8,7,16.96,147,18.966,12.907,1.277975746,1.536478886
12,PSU,M,46.7,8.1,102.6,6.8,16.07,140,14.166,17.364,1.151247237,1.147619946
13,PSU,M,54.1,10.9,121.5,7.1,17.16,148,17.977,17.113,1.254717218,1.456357742
14,PSU,M,54.6,10.4,127.7,7.7,17.49,127,16.097,16.195,1.206744944,1.304054657
15,PSU,M,44.4,8.1,90.3,5.6,16,135,15.976,17.901,1.203468052,1.294252171
16,PSU,M,40.4,6.7,89.1,4.9,16.08,121,13.979,14.644,1.145476105,1.13247065
17,PSU,M,36.8,6.4,87.8,4.6,16.32,132,14.572,15.889,1.163519163,1.180510931
18,PSU,M,46.2,8.5,107.8,5.5,17.47,141,15.997,15.732,1.204038545,1.295953429
19,PSU,M,46.6,8.3,112.5,6.2,16.99,150,15.987,17.241,1.203766975,1.295143306
20,PSU,M,39.8,7.2,95.2,6,16.68,138,20.373,16.425,1.309054985,1.650463163
21,PSU,M,49.1,8.5,102.2,5.7,16.41,135,14.006,13.794,1.146314122,1.134657981
22,PSU,M,49.8,8,103.5,5.9,15.83,139,15.996,14,1.204011395,1.295872417
23,PSU,M,45.3,8.8,117.2,7,16.64,159,17.875,17.697,1.25224605,1.448094489
24,PSU,M,47.8,8.6,116.3,7.3,16.92,154,13.987,13.428,1.145724575,1.133118748
25,PSU,M,41.2,7.4,102.3,6.2,16.26,137,15.977,16.067,1.203495235,1.294333184
26,PSU,M,39,6.8,88.2,4.5,15.87,144,17.909,15.203,1.253071336,1.450848907
27,PSU,M,48.6,10,112.1,7.1,16.6,148,16.001,14.868,1.204147125,1.296277478
28,PSU,M,43.1,8.4,98.9,5.9,15.75,143,13.996,14,1.146003934,1.133847859
29,PSU,M,43.3,8,100.5,5,16.03,129,17.975,15.905,1.254668899,1.456195717
30,PSU,M,53.9,9.8,123.2,7.1,16.73,142,14.031,16,1.147088625,1.136683288
31,PSU,M,52.6,10.2,122.3,6.9,17.01,151,16.004,18,1.204228543,1.296520515
32,PSU,M,45.2,9.4,115.8,6.1,16.62,147,14.027,13.785,1.146964797,1.136359239
33,PSU,M,44.7,9.4,107.3,5.8,16.67,138,14.009,14.907,1.146407135,1.134901018
34,PSU,M,53.8,10,121.3,6.9,17.34,159,16.14,17.351,1.20790353,1.307538185
35,PSU,M,43.1,7.9,105.1,5.9,17.1,145,22.02,15.732,1.342817315,1.783890386
36,PSU,M,43.6,8,105.9,6,16.72,142,16.004,17.351,1.204228543,1.296520515
37,PSU,M,42.5,7.9,103.3,5.3,16.75,130,15.995,15.857,1.203984244,1.295791405
39,PSU,M,37.1,8,103.2,6.8,16.62,135,14.007,14.077,1.146345129,1.134738994
40,PSU,M,42.9,8.7,101.9,7.1,16.42,140,22.01,13.351,1.342620043,1.783080264
41,PSU,M,42.2,8.3,97.4,5.6,15.56,132,14.122,17.322,1.149896207,1.144055406
42,PSU,M,41.8,7.5,95.7,5.1,15.55,148,13.979,14.644,1.145476105,1.13247065
43,PSU,M,49.9,9.1,121.6,7.5,17.16,150,15.972,14.636,1.203359302,1.293928122
44,PSU,M,57.7,11.2,123.7,7.7,17.48,138,18.423,12.284,1.265360352,1.492489218
45,PSU,M,41.9,7.8,98,5.5,16.96,140,13.999,14.833,1.146097014,1.134090895
46,PSU,M,53.5,9.8,118.8,7.3,17.34,147,20.033,18.062,1.301745991,1.622918988
47,PSU,M,54.1,9.7,120.4,7.3,17.46,148,13.968,18.833,1.145134226,1.131579515
48,PSU,M,46.9,9,116.2,6.5,16.64,148,20.019,15.59,1.30144238,1.621784816
49,PSU,M,49.4,9.1,109.4,6.3,16.87,150,14.014,16.114,1.146562113,1.13530608
50,PSU,M,46.8,8.4,115.4,6.3,16.85,142,17.978,19.351,1.254741376,1.456438754
51,PSU,M,51.4,9.2,116,8.3,16.79,130,15.997,15.732,1.204038545,1.295953429
52,PSU,M,46.2,8.9,111.9,7.2,17.1,143,15.979,15.12,1.203549597,1.294495208
53,PSU,M,49.3,9.8,115.2,5.9,16.8,140,14.128,14.584,1.150080686,1.144541479
54,PSU,M,46.5,9.5,115.1,5.9,16.56,153,18.008,14.38,1.255465482,1.458869122
55,PSU,M,44.8,8.3,103.9,5.9,16.6,133,25.999,16.073,1.414956644,2.106238245
56,PSU,M,50.2,9.6,115.5,6.1,17.14,148,21.983,14.494,1.34208696,1.780892932
57,PSU,M,45.5,9.7,110.5,6,17.15,143,15.975,16.584,1.203440867,1.294171159
58,PSU,M,51.6,9.7,118.4,6.5,16.79,153,15.993,14.142,1.203929937,1.29562938
59,PSU,M,49.5,9.7,114.1,7.1,17.06,132,16.001,14.844,1.204147125,1.296277478
60,PSU,M,53.9,9.3,117.4,7.2,17.62,133,15.974,17.566,1.20341368,1.294090147
61,PSU,M,50.6,8.7,116.3,7.5,17.24,147,15.978,19.106,1.203522417,1.294414196
62,PSU,M,44.6,8.8,109.1,5.7,15.99,138,15.991,18.399,1.203875623,1.295467355
63,PSU,M,49.3,8.8,128.2,6.3,17.06,154,19.723,16.906,1.294972975,1.597805181
64,PSU,M,57.5,11.2,116.7,6.9,16.85,141,15.967,18.311,1.203223325,1.293523061
65,PSU,M,45.4,8.6,109.4,6,16.67,154,18.027,17.623,1.255923459,1.460408356
66,PSU,M,39.1,7.2,100.1,5.9,16.4,141,16.031,17.623,1.204960614,1.298707847
